"author","title","post_time","like","hate","article"
"sister4949","[新聞] 《哲仁王后》金正賢爆復出！簽給「金泰","Fri Sep 24 16:59:51 2021","436","88","媒體名稱：ettoday
新聞連結：https://star.ettoday.net/news/2086664
記者姓名：吳孟庭
(若有則必須貼出)
新聞全文：
《哲仁王后》金正賢爆復出！簽給「金泰希、徐仁國公司」洩近況
演出韓劇《愛的迫降》、《哲仁王后》竄紅的男星金正賢，今年4月陷入合約糾紛，還扯
出前女友徐睿知唆使他不准肢體接觸異性，導致他在《時間》記者會上對少女時代徐玄
擺臭臉。沉寂約莫半年傳來新消息，他簽約金泰希、徐仁國的經紀公司，等同宣告即將
復出！
金正賢今（24）日被媒體爆料，他與前公司的合約在5月正式結束後，一直都是無主狀態
，但其實不少經紀公司看好他而向他接洽，最近他已經和演員公司「Story J」簽約，該
公司擁有金泰希、徐仁國、俞承豪，海外觀眾也熟悉的綠葉《屍戰朝鮮》許峻豪、《黑
道律師文森佐》金聖喆、SISTAR多絮等人也是同一公司。
而稍早Story J也發布聲明證實，「我們一直在關注著金正賢作為演員擁有的才能，在得
知了金正賢想要持續走自己的路之後，雙方花很長時間進行對話，彼此建立信任。最重
要的是，我們被他無止盡的表演熱情所感動。」
Story J也透露他的近況，「金正賢和能夠溫暖包容現在的他，並能專注於演技活動的S
tory J正式簽屬專屬合約，目前正專注於恢復健康，這段時間非常感謝為金正賢恢復健
康而祈禱並擔憂的粉絲、演藝圈相關人士以及記者們。」也約定未來將會盡最大努力讓
金正賢以更健康、更好的模樣出現在大家面前。
金正賢在拍完《哲仁王后》後人氣不可一世，但在4月卻被爆出熱戀《愛的迫降》同劇女
星徐智慧，他第一時間否認，表示是因為與當時公司的合約將在5月到期，正在尋找新的
東家時，在徐智慧的牽線下，正與女方公司洽談。
此舉動引起他當時公司不滿，指出金正賢因為健康問題在2018年退出電視劇《時間》後
，一直到《愛的迫降》中間有長達11個月的空白期，因此合約結束時間應該延長到明年
。同時也被爆出他拍《時間》遭當時女友徐睿知（《雖然是精神病但沒關係）》要求他
不准肢體接觸女演員，導致金甚至在記者會上對女主角徐玄甩手、擺臭臉。
隨後他在5月中透過律師發聲，表示不但正式與原經紀公司解約，也被韓媒曝光這段時間
都在登門道歉，還與《時間》導演相約好下部作品要一起合作。律師也澄清金正賢真的
是因為健康問題離開《時間》劇組，但他對外形象已經重創，直至今日才傳出近一步消
息。
心得或評論(選填)：

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.57.44 (臺灣)
"
"Master5566","[閒聊] 身材很好, 笑容也好看的演員魏河俊","Wed Sep 22 20:33:34 2021","442","140","
身材很好, 笑容也好看的演員魏河俊
https://tinyurl.com/yjmwgufc

《魷魚遊戲》的警察
魏河俊 (本名: 魏賢伊) (音譯)
1991年生
全羅南道莞島郡出生
身高180cm 體重68kg
來源: theqoo　https://theqoo.net/2171754704

1. 我以為他是台灣人耶，他是韓國人嗎?
2. 真帥，長得很像《想見你》的男主角，而且身材超級好的..
3. 啊，就想說好像在哪裡看過，原來是《經常請吃飯的漂亮姐姐》孫藝真的弟弟啊!!!
4. 笑的時候會讓人想到《想見你》的男主角，就是那種清爽的感覺!
5. 他在電影《Midnight》裡面真的超可怕的 TT TT
6. 雖然臉沒有完全一樣，但看《魷魚遊戲》的時候一直覺得他跟許光漢的形象很像，
   笑的時候散發出的氛圍也很類似
7. 不久前好像有在熱門文章看到他，感覺他好適合當《想見你》的男主角
8. 嘴巴真的好好看，我超喜歡嘴巴大的人，也好喜歡恐龍相
9. 超性感的，連本名都超好聽，賢伊
10. 原來他是《鬼病院：靈異直播》裡面的演員啊! 一開始覺得他跟金英光長得超像
    ╕ ╕
11. 真的有台灣演員的感覺  ╕ ╕ ╕ ╕ ╕ ╕ ╕ 如果能拍青春電影就好了
12. 雖然他的戲份不多，但是Instagram粉絲數也從30萬一下子漲到60萬，感覺海外的
   反應不錯，真是太好了 TT TT 希望魏河俊能紅起來
13. 真的好像《想見你》的男主角
14. 我從《回到18歲》的時候就超喜歡他的了TT TT TT TT TT TT TT TT
15. 超帥.. 一看完《魷魚遊戲》後馬上就去網路搜尋他了
#魏河俊
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
-----------------------------------------------------------------
也是 18 again 的棒球選手
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.56.131 (臺灣)
"
"jordanlove","[新聞] 回歸前奏？T.O.P罕見公開全身自拍...往","Mon Sep 20 12:52:55 2021","271","132","記者吳孟庭／綜合報導
南韓團體BIGBANG全員退伍已經快要2年，雖然一度傳出GD正在寫歌，但回歸計畫停擺，不過
成員T.O.P稍早罕見公開全身自拍，照片中的他穿著全身牛仔套裝，戴著金屬框眼鏡顯得相
當時髦，值得注意的是他染了一頭淡色「白髮」，粉絲驚叫：該不會要回歸？
T.O.P今（20）日一早公開個人自拍，地點看起來像是某高級場所的洗手間，他對著全身鏡
自拍，以牛仔外套搭配牛仔褲露出修長的比例，腳上穿的則是NIKE與Supreme於2018年推出
的聯名款，現在市場價格介於約莫台幣3000至6000都有。
不過值得注意的是，他染了一頭白髮，照片公開後粉絲驚呼，「天啊，睽違2年的全身照！
」、「歐巴要回歸了嗎？」而韓媒也報導猜測，「可能是在準備回歸，但也可能是發舊照」
。而其實今年7月時，T.O.P便被捕捉到人在美國並與音樂製作人Josh Abraham、Scott Stor
ch合照，且大聲上傳的YouTube影片也透露正在學英文，讓粉絲猜測是否他們將以美國為市
場重新出發。
BIGBANG除了退團的勝利，4人皆於2019年全員退伍，原本去年4月他們預定前往美國Coachel
la（科切拉音樂節）首度合體登台，但因為疫情關係音樂節全面取消，之後雖傳出GD正在寫
歌，但YG娛樂至今並未發表任何BIGBANG團體或個人的音樂計畫。
https://star.ettoday.net/news/2083537
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.26.135.6 (臺灣)
"
"Master5566","[閒聊] 結尾反應不太好的《機智醫生生活2》最終","Sat Sep 18 13:50:18 2021","574","20","
結尾反應不太好的《機智醫生生活2》最終回
https://tinyurl.com/yhzl7abu

韓網熱門留言：
1.真的超無聊的…
2.什麼啊 不是為了拍第三季才這樣結束的嗎
第三季給我交出來
3.如果要這樣為什麼要拍第二季啊…
4.我覺得結束的很有機智系列的感覺 很好啊？？
5.看的時候超希望時間停止的  竟然這樣結局了
6.機智系列的問題都是角色一個一個埋了很多伏筆但最後都無法收拾，醫生生活已經很好了！
7.我覺得很有趣啊？？
8.希望在第二季結束，在更多人罵之前要在掌聲之下離開！
9.最後一集最長  可是最無聊
10.因為第一季太好看了 第二季真的很不怎麼樣


來源：theqoo
https://tinyurl.com/yg8tcte6

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.60.233 (臺灣)
"
"StressND","[新聞] 總被認為她家很有錢　李聖經從小住貧民窟","Thu Sep 16 20:48:29 2021","57","107","媒體名稱：
ETNEWS
新聞連結：
https://star.ettoday.net/news/2080994
記者姓名：
吳睿慈
新聞全文：
南韓模特兒李聖經從伸展台轉戰戲劇圈，長相出眾、身材高挑再加上性格親民，受到很多粉絲喜愛。由於她總是能消化各種高級品牌的服裝，常常給人高貴、氣質出眾的感覺，因此不少人認為她出生於豪門，15日出演節目《SeriMoney Club》，再度被問到該傳聞，她首度解釋自己幼時的生活其實不如外界想像的優渥，窮苦程度連嘉賓聽了都大吃一驚。
https://cdn2.ettoday.net/images/5881/d5881274.jpg
李聖經從模特兒界出道，憑藉著清新、氣質的長相闖出名聲，且她全身散發出「高級感」，令不少人誤以為她是含著金湯匙出生的富家女。但事實確是，她從小生活環境艱苦，4歲那年，爸爸工廠意外起火，導致家中經濟狀況極差、負債累累，全家只能搬進棚戶區（類似貧民窟），直到7歲才搬進只有7、8坪大小的出租公寓，全家擠在小小公寓裡一直到她高中，就連同學到訪她家，都為之震驚：「這個家要怎麼住人？」使得她產生自卑心理。
某次，爸爸開著幾乎要報廢的中古車載她，因為感到太丟臉，還刻意叫爸爸停在遠一點的地方。從小生活艱辛，卻養成了李聖經樂觀進取的性格，家人會在家裡貼著30坪公寓、好車，每天祈禱希望有天實現夢想，而她更是在家人的支持下，選擇朝模特兒的道路前進，更成功轉行成為當紅演員。
李聖經當天也在節目裡說出內心想法，「如果我在富裕人家下成長，是好的嗎？仔細想想其實不然。」童年的艱辛讓她懂得感恩，過去的記憶成為她很感謝的一部分。
https://youtu.be/LiwajPknJwo
心得或評論(選填)：

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.9.171.235 (臺灣)
"
"chenrita54","[新聞] Lisa新單曲獲65個國家排行冠軍 ","Tue Sep 14 21:58:01 2021","532","83","Lisa新單曲獲65個國家排行冠軍 超狂成績也打破Rosé紀錄
媒體名稱：非凡娛樂
新聞連結：https://tinyurl.com/25xvmj73
新聞全文：
韓國大勢女團BLACKPINK的Lisa
近日也終於推出首張SOLO單曲專輯《LALISA》
而同名主打歌《LALISA》截至韓國時間9/11 12點
在65個國家與地區的iTunes歌曲版獲得冠軍
也引起了大眾的關注
https://i.imgur.com/43BLPhb.jpg
據媒體報導表示 Lisa的新曲《LALISA》
在台灣、香港、泰國、法國、瑞典等
65個國家與地區的iTunes歌曲榜登上第一名
此外《LALISA》的YouTube 官方MV
在韓國時間下午1點公開後
在24小時內達成7,050萬次的觀看次數
該曲不僅成為當天全球觀看熱度最高的MV
而且成績也遠遠超越了由BLACKPINK成員Rosé
以《On The Ground》創下的K-POP女子Solo歌手MV
在24小時內最高的視聽數3,900萬觀看次數
而截至9/12日該MV的觀看次數也已突破一億大關
由此可見Lisa的超高人氣真的是無人能敵
那麼也非常的期待Lisa這次的SOLO出道
還會繼續帶給粉絲們什麼意外的驚人成績

心得或評論：
很高興Lisa這次成績超棒~
雖然覺得這首歌有一點點沒把Lisa的實力完全發揮
但rap還是好帥啊 現場舞蹈好看好看～～
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.231.105.11 (臺灣)
"
"yoyodiy","[新聞] 全道嬿《人間失格》收視狂跌！網曝「關","Mon Sep 13 21:16:53 2021","592","206","媒體名稱：
自由時報
新聞連結：
https://ent.ltn.com.tw/news/breakingnews/3670289
記者姓名：
綜合報導
新聞全文：
全道嬿《人間失格》收視狂跌！網曝「關鍵原因」：5分鐘轉台
2021/09/13 18:06
〔即時新聞／綜合報導〕坎城影后全道嬿和演技派男星柳俊烈主演新劇《人間失格》，開
播前因豪華演員陣容備受期待，首播拿下4.1%不俗收視，然而目前播出4集，收視不斷下
跌，昨（12）日最新一集2.7%更創下新低，超沉悶劇情讓韓國網友直呼：「太浪費演員陣
容了。」

全道嬿在《人間失格》飾演生活不順的40歲女性，遇到一事無成的柳俊烈後，原本該是兩
人對人生產生共鳴的療癒故事，沒想到開播後觀眾只覺得劇情沉悶，沒得到療癒還可能「
致鬱」，紛紛批評「陰沉沒精神的氛圍，哪怕是光看演員也不開心」、「無聊還陰沉」、
「第一集就被勸退，看了全道嬿5分鐘就轉台」。

另外，男主角柳俊烈台詞「有著一張致命且孤獨的臉」也引發熱議，網友紛紛吐槽他的顏
值表示「男主角人選選錯了」、「男主角那句誇自己很帥的台詞看得我太震驚了」、「這
張臉確實是挺致命的」，也有網友指出全道嬿和柳俊烈演技精湛卻缺乏「化學反應」，覺
得很可惜。

心得或評論(選填)：
我覺得不錯看耶  鋪陳的也很棒  只是真的很灰色 或許是不合現代人觀劇的胃口吧
好像好幾部類似的劇 收視都走相同路線  開高走低
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 125.224.91.129 (臺灣)
"
"booooon","[閒聊] Visual line是Top等級的男團","Sat Sep 11 22:45:29 2021","416","64","如題
看了版友分享Visual line是Top等級的女團覺得蠻認同的，於是也來分享自己心中認為
Visual line也是Top等級的男團THE BOYZ~~~
官方門面之一：賢在
https://i.imgur.com/byuEXQq.jpg
https://i.imgur.com/nhViODs.jpg
官方門面之二：泳勛
https://i.imgur.com/tvgoE2r.jpg
https://i.imgur.com/zne1MEZ.jpg
官方門面之三：柱延
https://i.imgur.com/dqxO4TM.jpg
https://i.imgur.com/zHsZgk3.jpg
另外雖然不是官方門面，顏值也很能打的超可愛的兩位：
善旴
https://i.imgur.com/EVBR8A8.jpg
Q
https://i.imgur.com/hYE5ZQA.jpg
當初偶然在YouTube刷到THE BOYZ的Relay dance就覺得這團帥哥也太多了吧...後來看了
Road to kingdom就被他們的舞台魅力跟敬業程度圈粉了！最近的回歸也拿了刷新自身紀
錄的五冠王

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.47.201 (臺灣)
"
"DARRYLYE","[新聞]「成為我力量的人」AOA前經紀人透露的智珉","Fri Sep 10 17:57:13 2021","444","86","https://bit.ly/3levwKa
AOA前經紀人對智珉的評價再次受到關注。
10日，在網路論壇上有一篇名為《AOA經紀人說的智珉和瑉娥》的熱門文章。
該文章講述的是2016年宋恩伊和金淑主持的電臺《宋恩伊&金淑秘密報告》的節目內容。
當天宋恩伊表示，自己的經紀人以前是從AOA出道開始就負責她們的經紀人。
對此，金淑問道：「雖然AOA成員們性格都很好，但是站在經紀人的立場來看，性格好的成員可能又會不一樣，誰的性格最好？」
對此，經紀人A某說：「成為最大力量的人是隊長智珉。如果我想打掃一下，就會叫我不要打掃，然後自己和孩子們一起打掃。合宿的時候我一次也沒有洗過衣服、打掃過。都是孩子們做了。」
對此，宋恩伊表示「AOA能獲得現在這樣的成功，智珉的作用非常大」，金淑則對A某說：「智珉成功的時候，你應該也是很開心的吧。」
A某說：「AOA獲得第一個1位的時候，我是JUNIEL的經紀人。當時我有香港粉絲簽名會的行程，但是一直有電話打過來。」
「她們拿到1位了，聽完那個一下子就忍不住了，JUNIEL還在簽名，我卻眼淚一直都停不下來，實在是很抱歉，所以我躲到後面去大哭了一場。」
另外，最近演藝媒體Dispatch公開了AOA成員和權珉娥在那一天中交流的對話記錄，引起了軒然大波。
公開的對話記錄中包含了智珉給珉娥的道歉內容，以及其他成員調解兩人的內容，還有珉娥單方面的向智珉發出辱駡的資訊。
除此之外，珉娥讓經紀人為自己的私事跑腿等甲方一樣的行為也浮出水面，爭議愈演愈烈。

電台內容連結：https://bit.ly/38SdBn0

--
如果真的被霸凌那麼久(權自述被霸凌10年，不過他入社到不續約僅9年)
合宿過的經紀人應該完全不會沒有目擊過吧？
看韓網討論有說這名經紀人好像也曾經是宣美的經紀人，是宣美買房子給她的那位
但我沒有看到詳細出處，所以僅供參考
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.225.17.31 (臺灣)
"
"EVADONG","[閒聊] Crayon Pop Way解釋偶像錄製LIVE AR的方","Wed Sep  8 20:06:41 2021","338","199","https://youtu.be/RmBBwBpdghk?t=420
https://i.imgur.com/M2v9LLR.jpg
Q:
音樂節目播的歌曲是另外錄的嗎？會假裝是唱現場，然後把呼吸聲錄進去嗎？
A:
對，我們常常是另外錄的，很多大公司都會這樣。基本上要看音樂節目的規定，有的節目可
以這樣，有的不行。
我們也會錄好幾次，比如說會這樣原地跑步，在氣喘吁吁的狀態下錄音。
以'Bar Bar Bar'來說，這首歌的舞蹈非常緊湊對吧？所以我們的聲音一定要會顫抖，如果
不會抖的話會很奇怪，那個時候我們就要跳著錄音。會根據舞蹈的強度來決定錄音時的動作
要多大。
有時候是在公司錄好音之後交給音樂節目，有時候是在節目播出之前，大家在舞台上輕輕地
跳舞然後錄音的。
來源: theqoo　https://theqoo.net/2154100627
1. 好好笑     真的是費盡心思在用這些
2. 雖然我也喜歡偶像，但看到這個就讓我覺得偶像好像不算是歌手呢..
3. 以電視台的角度來說是還滿方便的，基本上不會出事.. 不用想誰要開麥，誰不用開麥，
也不用處理後續的修音問題，不然電視台原本要注意的事真的很多
4. LIVE AR真的是把大眾當白痴，話說他們自己那樣錄音的時候不會覺得很衝擊嗎
5. 其實都看得出來... 明明臉很正常，但是聲音卻像喘不過氣一樣，會想說這到底在幹嘛

6. 我知道邊唱邊跳很累，所以我不太排斥對嘴，但是明明就是對嘴，卻用LIVE AR假裝是在
唱現場，這樣真的會讓人很反感。我在看的到底是什麼? 他們想展現的又是什麼?
7. LIVE AR就是為了騙人用的，本來就應該被罵，還不如光明正大的對嘴勒
8. 這樣只是表演者吧，為什麼要說自己是歌手呢..   站在舞台上的時候，比起表演，我
更希望偶像能集中在唱歌上.. 然後MV就是以表演為主，好好認真拍攝
9. 誰看都知道是LIVE AR，看到粉絲在誇獎自己偶像現場唱得很好的時候，我都覺得很尷尬
... 明明看直拍就知道不是唱現場了
10. 還不如直接對嘴.. 那樣根本是在騙人啊，到底是誰先開始用這招的啊
11. 那樣站在舞台上都不會覺得丟臉嗎
12. 現在幾乎都這樣.. 可是真的很明顯.. 臉上明明就在笑，但發音卻非常完美
13. 所以比起音樂節目，我更喜歡看演唱會，音樂節目很尷尬，都是用AR的，很明顯
14. 要那樣的話乾脆放音源就好...
15. 所以安可的時候一唱現場就露出破綻了
#CrayonPop #Way
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
https://www.facebook.com/229878154109281/posts/1323296534767432/
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.200.187.3 (臺灣)
"
"Master5566","[閒聊] April采媛更新YouTube頻道","Mon Sep  6 21:57:24 2021","327","100","
April采媛更新YouTube頻道
https://tinyurl.com/yh9me2e4
https://youtu.be/jSW4UveN8Gk
------------------------
大家好 我是Honeychan*
這段時間沒辦法遵守每週一上傳影片的約定
這麼晚才跟大家見面 真的很抱歉
還有 我也要向來聽我唱歌的人表達謝意
非常感謝大家
今天的Honeychan呢
是《我的大叔》的OST ""Sondia-大人""    ！
大家要保重身體 祝大家度過甜蜜的一天:)
P.s. chan粉 你們讓我好想哭
如果有想聽的歌曲請留言推薦我哦!!
(*註:    chan是采媛可愛一點的發音，類似太妍叫taeng那樣)
------------------------
這是采媛時隔6個月的更新
最近還認證了6週年的應援廣告
好像要正式重新開始活動了
來源: theqoo　https://theqoo.net/2152218325
1. 我只覺得Rachel和彩暻好可憐
2. 采媛Fighting，一定要針對經紀人謠言的事提告
3. 事情都還沒確定，她當然也可以當YouTuber
4. April的粉絲好可怕，他們現在不是因為委屈才留言的，已經變成是在折磨人的地步了...
5. 聽說YouTube頻道只要超過6個月沒更新的話，就不會有收入了 ╕╕
   這是6個月的法則*
6. 我也是中立派，在明確的事實出來之前，雙方都可以活動
7. 不相信警察說的話還說自己是中立派╕╕真是不要臉
8. 不知道她是因為理直氣壯才復出，還是因為臉皮很厚才復出.. 總之，希望判決結果
   能早日出爐~
9. 警察那邊已經確認玹珠被排擠的事實了，April那邊對此都還沒做出解釋，誰說事情還
   不確定的? 那些人真的是工讀生嗎
10. 采媛的歌聲真的超好聽，Fighting
11. 裝什麼中立╕╕╕╕還不如就直接承認自己是April的粉絲勒，看來承認是粉絲會有
    點丟臉囉?
12. 玹珠加油，我會一直支持你的♥
13. 今天留言的風向好像變了，真是可怕 ╕╕玹珠Fighting!
14. 傳她和經紀人謠言的事真的有點過分了
15. 為什麼Rachel和彩暻沒辦法活動? 她們兩個才是最冤枉的
16. 如果要復出的話先道歉吧
17. 我看成IZ*ONE的采源，還點進去聽歌了呢，唉
18. 跟其他成員比起來，我覺得她沒有什麼問題，感覺她滿委屈的
19. 玹珠Fighting ♥趕快離開公司，多接一點活動吧
20. 粉絲一直叫玹珠解釋真的很討厭，好像在恐怖攻擊一樣，他們把警方的調查結果當什
    麼了?
(註: 以前April的新聞幾乎看不到支持的留言，但這次特別多，滿不可思議的)
------------------------
*補充 YouTube 6個月的法則:
隨著YouTube合作夥伴計畫持續發展，維持健全、活躍的頻道生態系統至關重要。
為全力支持表現活躍並與社群互動良好的創作者，如果頻道已有6個月以上未上傳任何影片或未在「社群」分頁中發布任何內容，我們可能會停用其營利功能。
#April #采媛
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.60.171 (臺灣)
"
"Master5566","[新聞] 鄭秀晶Amber秀團照紀念f(x)成團12週年","Sun Sep  5 18:39:14 2021","374","192","
9月5日是女團f(x)成團12週年的日子。
https://tinyurl.com/yecoyp24

成員Amber劉逸雲發微博紀念成團12週年，並曬出了以往5人在一起的團照：
“F（x）十二週年快樂！！！
謝謝MeU一直以來的支持、和所有美好的回憶。
我還是不知道這張照片裡發生了什麼，但是我們都太好看了哈哈。
”並大方表白所有成員：“Vic， Luna， Sulli， Krystal， 想你們！”
照片中，五個女生穿著演出服，對著鏡頭擺出搞怪的姿勢，
看得出來當時五個人是真的非常開心。
這一波回憶殺也讓不少網友深受感動：
“十二週年快樂！MeU一直在！”
“照片中的你們都好漂亮，未來再一起創造美好的回憶吧！！！嗚嗚嗚爆哭！
https://tinyurl.com/yz5t59d3

鄭秀晶今日也於IG秀團照紀念f(x)成團12週年
照片中宋茜、Amber劉逸雲、luna、鄭秀晶以及雪莉等五位成員，
正蹲在一張桌子下躲貓貓，Amber，鄭秀晶等人都瞪大眼睛看向鏡頭，
唯獨雪莉眼睛瞇成一條線笑得好甜!
https://tinyurl.com/yhh5hcdy

f(x)12週年快樂!!!

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.35.218 (臺灣)
"
"Master5566","[閒聊] 成為綜藝節目固定班底後評價不錯的演員","Fri Sep  3 22:58:54 2021","146","37","
成為綜藝節目固定班底後評價不錯的演員
《第六感2》的李相燁
https://tinyurl.com/yglyvxdx
來源: theqoo　https://theqoo.net/2115045447
1. 超喜歡李相燁TT
2. 而且他是漢陽大學經營系的... 在節目上看他講話就覺得他真的很聰明
3. 感覺他的個性超好的，又很溫柔，很有魅力 ╕ ╕
4. 李相燁演技好，綜藝節目的表現也好，真棒TT TT
5. 相燁哥哥TT TT 為什麼現實生活中沒有這樣的人...
6. 超喜歡《第六感》成員們的組合T T
7. 我好喜歡李相燁，讓他成為固定班底真的是神來一筆
8. 他像一群可愛瘋子中的正常人? 我是這種感覺
9. 相燁哥哥和我結婚吧
10. 從他常常上《Running Man》的時候我就很喜歡他了 ╕ ╕ ╕ ╕ ╕ ╕
11. 外表是另一回事，但他和成員間的默契也很棒 ╕ ╕ ╕ ╕ 好喜歡他
12. 一看到標題就想到李相燁了，感覺他的個性真的很好
13. 就算沒有那樣的外表，光是有那麼好的個性就會很受歡迎了，結果他連臉
    都那麼好看...
14. 有sense又很溫柔，這種人不可能不受歡迎
15. 感覺是那種像傻瓜又很溫柔的哥哥類型
#李相燁 #第六感2
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.54.252 (臺灣)
"
"haohaomin","[新聞] 允浩違反防疫規定遭罰款 避開刑事處罰","Thu Sep  2 23:44:29 2021","547","59","韓國人氣男團東方神起成員允浩今年2月因前往非法營業的預約制酒店時未遵守防疫規定
的營業時間、違反防疫規定而遭到警方調查。
今日（2日），首爾中央地方檢察院刑事2部表示，違反防疫規定的允浩會被罰款，但並非
刑事處罰的對象。
允浩今年2月底收到朋友想找他談心的聯絡而前往朋友所在的場所，然而該場所為非法營
業的預約制娛樂性酒店，且當時韓國首都圈因應政府的第二階段防疫社交距離限制，餐廳
只能營業到晚上10點，允浩在超過餐廳營業時間後仍在餐廳與朋友聊天，因此遭到警方調
查。
首爾中央地方檢察院刑事2部今日對此案表明，非法營業的店家社長及工作人員和顧客將
因違反食品衛生法而遭到起訴與罰款，但僅違反防疫規定的允浩不屬於被刑事處罰的對象
，因此將由江南區廳向他徵收罰款。
https://www.epochtimes.com/b5/21/9/2/n13204951.htm
---
剛剛也更新IG：
https://www.instagram.com/p/CTUqugMPelR/
大家好 我是鄭允浩
首先再次向所有因為之前的事情而對我失望的人表示誠摯的歉意。
作為得到大家喜愛的人，因為今年2月晚上10點以後和朋友聚會，沒有遵守防疫規定表示
歉意，對於我沒能先行了解聚會場所的疏失，而讓很多人擔心，也感到很抱歉。
當時我接到了朋友的煩惱諮詢請求，聽說是可以安靜地聽完對話的地方，所以沒有特別警
惕地赴約了。
這段期間，我帶著羞愧的心，度過了悔悟的時間，至今仍在反省自己。
為了避免再發生這樣的事情，我會更加鞭策反省自己。
再次為我的失誤讓大家擔心，真心的道歉。
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.163.232 (臺灣)
"
"Master5566","[閒聊] 《SWF》舞者們看到 IZ*ONE 李彩演編舞的","Wed Sep  1 18:49:36 2021","315","155","
《SWF》舞者們看到 IZ*ONE 李彩演編舞的反應
https://tinyurl.com/yjsu6jm6
https://tinyurl.com/yhtgxge6
https://tinyurl.com/yzwmz6u4
https://tinyurl.com/yfg8fl4j
https://tinyurl.com/yfa6lcao

(韓網回應數破千)
韓網熱門留言：
1.其實對舞者們的評價很有共感，是跟這個節目完全不適合的編舞
2.不是應該做好覺悟才出演的嗎，跳得好是沒錯，但其他畢竟是編舞專家
3.我覺得已經講得很委婉了耶，藝人去跟舞者比真的是沒辦法
4.彩演出演後一直被罵好可惜TT TT
已經是舞蹈擔當了好像沒必要硬要跟專業舞者比較
5.從舞蹈類型就跟街舞太不合了  好可惜希望不要太受傷TT TT
6.但也說得沒錯，雖然舞很漂亮，只是對那些舞者來說太弱了
7.網友講的比那些舞者還過份耶  太心疼彩演了，有挑戰精神已經很棒了
8.都已經出演了，還一直說幹嘛要出演有什麼用呢，就幫他加油吧
9.如果是 Mnet 的話感覺可以期待成長過後被舞者們認可的橋段
10.在這個節目感受到舞者跟偶像真的是很不一樣的職業

來源：theqoo
https://tinyurl.com/yg2uxrda
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.137.55.197 (臺灣)
"
